"Calendar.Period","tsValue"
"2010-09-01",29235410.544
"2010-10-01",48202883.093
"2010-11-01",72893599.912
"2010-12-01",39239573.36
"2011-01-01",61104302.051
"2011-02-01",131964868.459
"2011-03-01",80818311.108
"2011-04-01",58430034.172
"2011-05-01",56644653.479
"2011-06-01",47218777.326
"2011-07-01",63359541.608
"2011-08-01",96997099.103
"2011-09-01",38298565.431
"2011-10-01",27503789.012
"2011-11-01",55356473.959
"2011-12-01",30112713.348
"2012-01-01",60326588.067
"2012-02-01",88030245.497
"2012-03-01",67144312.075
"2012-04-01",59723924.129
"2012-05-01",56689140.8
"2012-06-01",81940059.153
"2012-07-01",50904520.66
"2012-08-01",98733853.794
"2012-09-01",25593411.797
"2012-10-01",26981318.937
"2012-11-01",43341082.252
"2012-12-01",25159371.916
"2013-01-01",48579566.025
"2013-02-01",95430675.72
"2013-03-01",47239856.595
"2013-04-01",83378452.86
"2013-05-01",47312726.977
"2013-06-01",54425225.086
"2013-07-01",53719175.037
"2013-08-01",86254571.178
"2013-09-01",25913322.008
"2013-10-01",28205422.115
"2013-11-01",38133618.678
"2013-12-01",32066028.81
"2014-01-01",58728499.924
"2014-02-01",84373868.217
"2014-03-01",56079809.462
"2014-04-01",48888649.267
"2014-05-01",49616489.586
"2014-06-01",51834988.052
"2014-07-01",56235229.49
"2014-08-01",99326435.866
"2014-09-01",20593787.275625
"2014-10-01",18475995.8235956
"2014-11-01",28931456.522421
"2014-12-01",29314321.1829391
"2015-01-01",46528537.3446432
"2015-02-01",82797841.8700722
"2015-03-01",42760984.4045517
"2015-04-01",40039793.4838802
"2015-05-01",44786040.3619419
"2015-06-01",42266963.5782001
"2015-07-01",43446684.5011989
"2015-08-01",87791018.574024
"2015-09-01",17796832.7068976
"2015-10-01",13634831.7142616
"2015-11-01",27638103.9511099
"2015-12-01",20520900.5242624
"2016-01-01",38859386.2699658
"2016-02-01",79340109.8247835
"2016-03-01",48451721.2927176
"2016-04-01",28896267.3270359
"2016-05-01",52805823.169959
"2016-06-01",27866513.0011581
"2016-07-01",38157288.3316461
"2016-08-01",109844012.167533
"2016-09-01",18340702.498
"2016-10-01",14680242.65
"2016-11-01",24285606.053
"2016-12-01",25014805.332
"2017-01-01",36248740.4
"2017-02-01",71497956.226
"2017-03-01",47359364.083
"2017-04-01",30813250.122
"2017-05-01",44294776.526
"2017-06-01",18494099.939
"2017-07-01",30170306.493
"2017-08-01",67969242.701
"2017-09-01",0
"2017-10-01",0
"2017-11-01",0
